"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://leon-international.com/food-supply-chain-support/","1","Non-Indexable","Canonicalised","https://leon-international.com/","","index, follow","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","",""
"https://leon-international.com/support/","1","Non-Indexable","Canonicalised","https://leon-international.com/","","index, follow","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","",""
"https://leon-international.com/support/technical-guides/","1","Non-Indexable","Canonicalised","https://leon-international.com/","","index, follow","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","",""
"https://leon-international.com/chemical-supplies/","1","Non-Indexable","Canonicalised","https://leon-international.com/","","index, follow","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","",""
"https://leon-international.com/blog/understanding-non-destructive-testing/","1","Non-Indexable","Canonicalised","https://leon-international.com/blog/","","index, follow","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","",""
"https://leon-international.com/blog/guide-marine-engine-maintenance/","1","Non-Indexable","Canonicalised","https://leon-international.com/blog/","","index, follow","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","",""
"https://leon-international.com/blog/emergency-ship-repair-anchorage-guide/","1","Non-Indexable","Canonicalised","https://leon-international.com/blog/","","index, follow","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","",""
"https://leon-international.com/blog/signs-main-engine-needs-overhauling/","1","Non-Indexable","Canonicalised","https://leon-international.com/blog/","","index, follow","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","",""
"https://leon-international.com/blog/oem-vs-aftermarket-marine-spares/","1","Non-Indexable","Canonicalised","https://leon-international.com/blog/","","index, follow","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","",""
"https://leon-international.com/blog/crane-load-testing-importance/","1","Non-Indexable","Canonicalised","https://leon-international.com/blog/","","index, follow","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","",""
"https://leon-international.com/support/technical-guides/man-bw-fuel-optimization/","1","Non-Indexable","Canonicalised","https://leon-international.com/","","index, follow","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","",""
"https://leon-international.com/blog/new-vs-reconditioned-marine-parts/","1","Non-Indexable","Canonicalised","https://leon-international.com/blog/","","index, follow","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","",""
"https://leon-international.com/blog/industrial-protective-coatings/","1","Non-Indexable","Canonicalised","https://leon-international.com/blog/","","index, follow","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","",""
