"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Indexability","Indexability Status"
"https://leon-international.com/","976","228","4.281","43.518","Hard","Indexable",""
"https://leon-international.com/specialized/","195","41","4.756","45.823","Hard","Indexable",""
"https://leon-international.com/air-lifting-balloon/","207","39","5.308","40.422","Hard","Indexable",""
"https://leon-international.com/metal-stitching/","204","39","5.231","48.499","Hard","Indexable",""
"https://leon-international.com/boiler-repair/","209","38","5.500","40.553","Hard","Indexable",""
"https://leon-international.com/privacy-policy/","498","89","5.596","44.866","Hard","Indexable",""
"https://leon-international.com/industrial-coatings/","205","39","5.256","36.839","Hard","Indexable",""
"https://leon-international.com/mechanical-repair/","190","40","4.750","42.610","Hard","Indexable",""
"https://leon-international.com/ultrasonic-gauging/","207","38","5.447","39.871","Hard","Indexable",""
"https://leon-international.com/fabrication/","224","45","4.978","32.205","Hard","Indexable",""
"https://leon-international.com/custom-parts-fabrication/","205","39","5.256","38.903","Hard","Indexable",""
"https://leon-international.com/volvo-penta-parts/","246","42","5.857","43.383","Hard","Indexable",""
"https://leon-international.com/deck-machinery-overhauling/","200","39","5.128","34.545","Hard","Indexable",""
"https://leon-international.com/waukesha-parts/","241","43","5.605","36.861","Hard","Indexable",""
"https://leon-international.com/protective-coatings/","196","41","4.780","46.595","Hard","Indexable",""
"https://leon-international.com/spare-parts-supply/","216","38","5.684","45.182","Hard","Indexable",""
"https://leon-international.com/petroleum-equipment/","246","43","5.721","42.833","Hard","Indexable",""
"https://leon-international.com/main-engine-spares/","244","42","5.810","46.647","Hard","Indexable",""
"https://leon-international.com/steel-structure-fabrication/","287","49","5.857","31.100","Hard","Indexable",""
"https://leon-international.com/motor-rewinding/","198","39","5.077","38.464","Hard","Indexable",""
"https://leon-international.com/explosion-proof/","239","43","5.558","37.657","Hard","Indexable",""
"https://leon-international.com/pcb-card-repair/","207","39","5.308","48.187","Hard","Indexable",""
"https://leon-international.com/products/","227","65","3.492","45.644","Hard","Indexable",""
"https://leon-international.com/ac-plant-repair/","207","39","5.308","45.326","Hard","Indexable",""
"https://leon-international.com/perkins-parts/","251","43","5.837","43.507","Hard","Indexable",""
"https://leon-international.com/hydraulic-pump-overhauling/","214","38","5.632","44.174","Hard","Indexable",""
"https://leon-international.com/diesel-generators/","241","43","5.605","38.967","Hard","Indexable",""
"https://leon-international.com/caterpillar-parts/","250","43","5.814","47.300","Hard","Indexable",""
"https://leon-international.com/electrical-equipment/","239","43","5.558","37.303","Hard","Indexable",""
"https://leon-international.com/main-engine-generator-repair/","214","39","5.487","43.925","Hard","Indexable",""
"https://leon-international.com/ultrasonic-flaw-detection/","209","38","5.500","40.553","Hard","Indexable",""
"https://leon-international.com/hatch-cover-testing/","205","39","5.256","38.490","Hard","Indexable",""
"https://leon-international.com/deutz-parts/","246","43","5.721","44.897","Hard","Indexable",""
"https://leon-international.com/dye-penetrant-testing/","215","39","5.513","41.483","Hard","Indexable",""
"https://leon-international.com/crane-inspection/","200","39","5.128","37.506","Hard","Indexable",""
"https://leon-international.com/purifiers/","250","43","5.814","43.916","Hard","Indexable",""
"https://leon-international.com/welding-services/","295","49","6.020","31.811","Hard","Indexable",""
"https://leon-international.com/gyro-compass-overhauling/","200","39","5.128","39.198","Hard","Indexable",""
"https://leon-international.com/sandblasting/","214","39","5.487","49.460","Hard","Indexable",""
"https://leon-international.com/navigation-systems/","248","43","5.767","40.309","Hard","Indexable",""
"https://leon-international.com/magnetic-particle-inspection/","205","39","5.256","36.427","Hard","Indexable",""
"https://leon-international.com/cummins-parts/","250","43","5.814","46.962","Hard","Indexable",""
"https://leon-international.com/about/","674","119","5.664","40.296","Hard","Indexable",""
"https://leon-international.com/air-compressors/","251","43","5.837","47.889","Hard","Indexable",""
"https://leon-international.com/hardness-testing/","202","39","5.179","44.105","Hard","Indexable",""
"https://leon-international.com/mwm-parts/","246","43","5.721","46.616","Hard","Indexable",""
"https://leon-international.com/auxiliary-engines/","241","42","5.738","39.183","Hard","Indexable",""
"https://leon-international.com/terms-conditions/","452","76","5.947","44.887","Hard","Indexable",""
"https://leon-international.com/turbocharger-spares/","248","43","5.767","44.062","Hard","Indexable",""
"https://leon-international.com/marine-tools-calibration/","212","41","5.171","36.377","Hard","Indexable",""
"https://leon-international.com/cold-storage-repair/","205","39","5.256","35.189","Hard","Indexable",""
"https://leon-international.com/deck-machinery/","251","43","5.837","47.889","Hard","Indexable",""
"https://leon-international.com/propulsion-systems/","242","43","5.628","47.304","Hard","Indexable",""
"https://leon-international.com/hydraulic-equipment/","243","42","5.786","44.296","Hard","Indexable",""
"https://leon-international.com/windlass-repair/","214","39","5.487","49.065","Hard","Indexable",""
"https://leon-international.com/crane-load-test/","211","39","5.410","48.983","Hard","Indexable",""
"https://leon-international.com/power-plant/","246","44","5.591","38.838","Hard","Indexable",""
"https://leon-international.com/transformer-rewinding/","200","39","5.128","34.545","Hard","Indexable",""
"https://leon-international.com/electrical-equipment-repair/","202","39","5.179","34.472","Hard","Indexable",""
