"Type","Source","Destination","Alt Text","Length","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions"
"Image","https://leon-international.com/","https://leon-international.com/_next/image/?url=%2FBrands%2FJohn_Deere_logo.svg.png&w=3840&q=75","John Deere logo","15","Root-Relative","//body/main/section[6]/div/div[2]/div[17]/div/img","Content","HTML","","",""
"Image","https://leon-international.com/","https://leon-international.com/_next/image/?url=%2Fservices%2Fservice-7.webp&w=3840&q=75","HVAC & Refrigeration","20","Root-Relative","//body/main/section[4]/div/div[2]/a[7]/img","Content","HTML","","",""
"Image","https://leon-international.com/services/","https://leon-international.com/_next/image/?url=%2Fservices%2Fservice-7.webp&w=3840&q=75","HVAC & Refrigeration","20","Root-Relative","//body/main/div/section/div/div[2]/a[7]/img","Content","HTML","","",""
"Image","https://leon-international.com/","https://leon-international.com/_next/image/?url=%2FProjects%2Floading_arms_repair.webp&w=3840&q=75","Loading Arms Repairing","22","Root-Relative","//body/main/section[8]/div/div[2]/div[3]/img","Content","HTML","","",""
"Image","https://leon-international.com/","https://leon-international.com/_next/image/?url=%2FBrands%2FWauk.webp&w=3840&q=75","Waukesha logo","13","Root-Relative","//body/main/section[6]/div/div[2]/div[13]/div/img","Content","HTML","","",""
"Image","https://leon-international.com/","https://leon-international.com/Brands/b/images%20(1).png","CMA CGM","7","Root-Relative","//body/main/section[9]/div[1]/div[1]/div[1]/div[2]/img","Content","HTML","","",""
"Image","https://leon-international.com/","https://leon-international.com/Brands/b/images%20(1).png","CMA CGM","7","Root-Relative","//body/main/section[9]/div[1]/div[1]/div[2]/div[2]/img","Content","HTML","","",""
"Image","https://leon-international.com/about/","https://leon-international.com/Brands/b/images%20(1).png","CMA CGM","7","Root-Relative","//body/main/section[6]/div[1]/div[1]/div[1]/div[2]/img","Content","HTML","","",""
"Image","https://leon-international.com/about/","https://leon-international.com/Brands/b/images%20(1).png","CMA CGM","7","Root-Relative","//body/main/section[6]/div[1]/div[1]/div[2]/div[2]/img","Content","HTML","","",""
"Image","https://leon-international.com/","https://leon-international.com/_next/image/?url=%2FBrands%2FDeutz_Logo.svg.png&w=3840&q=75","DEUTZ logo","10","Root-Relative","//body/main/section[6]/div/div[2]/div[9]/div/img","Content","HTML","","",""
