"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://leon-international.com/about-us/","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","88","0.377","",""
"https://leon-international.com/contact-us/","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","88","0.235","",""
"https://leon-international.com/_next/image/?url=https%3A%2F%2Fimages.unsplash.com%2Fphoto-1621611135767-f2fb7079d2bf%3Fq%3D80%26w%3D1000%26auto%3Dformat%26fit%3Dcrop&w=3840&q=75","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","1.140","",""
"https://leon-international.com/_next/image/?url=https%3A%2F%2Fimages.unsplash.com%2Fphoto-1521404098939-5561a293699b%3Fq%3D80%26w%3D2000%26auto%3Dformat%26fit%3Dcrop&w=3840&q=75","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","1.110","",""
"https://leon-international.com/_next/image/?url=https%3A%2F%2Fimages.unsplash.com%2Fphoto-1621611135767-f2fb7079d2bf%3Fq%3D80%26w%3D2000%26auto%3Dformat%26fit%3Dcrop&w=3840&q=75","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","0.923","",""
"https://leon-international.com/_next/image/?url=https%3A%2F%2Fimages.unsplash.com%2Fphoto-1532635293-68d0bb50702d%3Fq%3D80%26w%3D2000%26auto%3Dformat%26fit%3Dcrop&w=3840&q=75","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","1.107","",""
"https://leon-international.com/_next/image/?url=https%3A%2F%2Fimages.unsplash.com%2Fphoto-1563820619-da409bc2c423%3Fq%3D80%26w%3D2000%26auto%3Dformat%26fit%3Dcrop&w=3840&q=75","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","1.240","",""
"https://leon-international.com/_next/image/?url=https%3A%2F%2Fimages.unsplash.com%2Fphoto-1542393278-f07bd0fb5d7c%3Fq%3D80%26w%3D2000%26auto%3Dformat%26fit%3Dcrop&w=3840&q=75","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","1.167","",""
"https://leon-international.com/_next/image/?url=https%3A%2F%2Fimages.unsplash.com%2Fphoto-1542393278-f07bd0fb5d7c%3Fq%3D80%26w%3D1000%26auto%3Dformat%26fit%3Dcrop&w=3840&q=75","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","0.797","",""
"https://leon-international.com/_next/image/?url=https%3A%2F%2Fimages.unsplash.com%2Fphoto-1574360416972-e034e4a7a1cc%3Fq%3D80%26w%3D2000%26auto%3Dformat%26fit%3Dcrop&w=3840&q=75","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","1.292","",""
"https://leon-international.com/_next/image/?url=https%3A%2F%2Fimages.unsplash.com%2Fphoto-1533090368676-1fd25485ea2c%3Fq%3D80%26w%3D1000%26auto%3Dformat%26fit%3Dcrop&w=3840&q=75","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","1.366","",""
"https://leon-international.com/support/technical-guides/turbocharger-balancing/","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","1","0.370","",""
"https://leon-international.com/_next/image/?url=https%3A%2F%2Fimages.unsplash.com%2Fphoto-1533090368676-1fd25485ea2c%3Fq%3D80%26w%3D2000%26auto%3Dformat%26fit%3Dcrop&w=3840&q=75","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","1.030","",""
"https://leon-international.com/support/technical-guides/metal-stitching-guide/","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","1","0.254","",""
